anger,disgust,fear,happiness,neutral,sadness,surprise
0.015,0.015,0.015,0.398,33.22,8.159,58.179
0.006,0.095,0.006,54.89,44.968,0.019,0.015
0.793,0.047,0.047,49.593,0.872,48.601,0.047
0.043,0.076,0.766,99.074,0.003,0.034,0.003
0.159,0.167,0.044,94.293,1.818,3.305,0.215
0.118,0.715,1.341,5.513,78.48,13.576,0.257
0.002,0.002,0.002,99.911,0.003,0.05,0.028
0,0.002,0,99.997,0,0,0
0.7,0.042,0.125,95.804,3.014,0.046,0.268
1.487,1.048,0.162,80.335,15.262,0.463,1.243
0.017,0.147,0.018,10.361,0.017,0.185,89.257
0.001,0.003,7.713,91.686,0.001,0.595,0.001
0,0,0,0,99.967,0.032,0.001
0.002,0.002,0.003,95.378,4.548,0.058,0.008
0.316,0.034,0.088,0.034,94.742,3.115,1.67
0.483,0.06,7.969,91.144,0.021,0.048,0.276
0.012,0.965,0.012,0.168,89.901,0.21,8.733
0.029,0.023,9.749,89.826,0.025,0.023,0.325
0.106,0.1,0.1,29.944,30.19,34.938,4.622
0.005,0.033,0.005,99.681,0.135,0.053,0.089
0.003,0.013,0.003,0.214,98.346,1.394,0.027
0.127,0.046,1.473,76.032,22.228,0.048,0.046
0,0.024,0,99.976,0,0,0
0.001,0.007,0,99.989,0,0.001,0
0.259,0.078,0.396,0.626,92.674,2.055,3.913
0.112,0.018,0.018,5.225,91.445,0.018,3.165
1.218,2.184,0.109,1.764,94.098,0.109,0.517
0.064,0.013,0.012,0.012,9.243,89.28,1.376
0,0.001,0,99.999,0,0,0
0.003,0.003,0.003,98.816,1.046,0.067,0.061
0,0,0,99.999,0,0.001,0
0.209,0.413,0.127,92.592,6.481,0.142,0.035
0.005,0,0,0.018,99.975,0,0.002
0.077,4.232,2.7,92.399,0.051,0.051,0.489
0.091,0.168,0.076,4.299,0.054,34.994,60.319
0.091,0.091,0.197,4.553,80.523,10.962,3.583
0,0,0,100,0,0,0
0.047,0.171,0.016,0.016,2.006,95.711,2.034
0.004,4.66,4.015,0.004,71.688,19.619,0.011
0.001,0.282,0.001,99.714,0.001,0.001,0.001
0.001,0,0,0.017,99.981,0.001,0
0.001,0,0.002,99.991,0.001,0.004,0
0,0.009,0.006,99.937,0,0.046,0
0,0,0,0.019,99.971,0.01,0
0,0,0.052,99.948,0,0,0
3.027,0.05,0.022,0.022,19.196,77.203,0.481
0.599,46.206,8.975,36.01,2.735,3.637,1.839
0.004,0.004,0.004,97.566,1.706,0.71,0.006
0.32,0.008,0.106,99.529,0.008,0.008,0.019
8.862,0.23,0.23,5.239,81.15,0.598,3.691
0.109,0.109,0.959,0.161,55.008,5.081,38.572
0.013,0.001,0.003,0.001,99.956,0.001,0.023
0.894,2.036,0.094,93.326,0.094,3.462,0.094
0.004,0,0,0.013,99.977,0,0.005
0.026,0.026,0.252,0.703,72.879,25.715,0.399
0.001,0.001,0.044,0.001,0.105,99.847,0.001
0.223,1.192,0.223,18.435,67.687,6.942,5.298
0.019,0.006,0.006,0.186,99.731,0.022,0.029
0.007,0.007,0.007,29.228,69.671,0.007,1.074
0.003,0.003,0.003,0.03,99.825,0.024,0.113
0.367,0.024,0.024,0.134,87.729,11.681,0.04
0.003,0.128,0.003,99.796,0.003,0.063,0.005
0.002,0.002,0.002,3.037,96.923,0.002,0.033
0.046,0.046,0.046,13.154,78.29,0.779,7.638
0.002,0.002,0.057,99.747,0.128,0.002,0.063
0.001,0.002,0.001,3.002,96.908,0.003,0.082
0,0,0,0.025,99.975,0,0
0.001,0.002,0,0.001,99.996,0,0
0,0,0,99.997,0,0,0.003
0.004,0.004,0.004,45.796,53.957,0.004,0.233
1.38,0.253,0.253,0.842,32.117,55.167,9.988
0.018,0,0.002,99.98,0,0,0
1.857,0.578,0.093,27.978,11.842,55.602,2.051
0,0,0.002,99.994,0,0,0.003
0,0.013,0,99.987,0,0,0
0.117,0.008,0.066,98.685,1.089,0.029,0.008
0.02,86.233,0.011,0.012,11.646,1.973,0.105
1.559,0.003,0.003,0.017,89.245,0.003,9.17
0.372,25.622,0.23,57.381,11.159,0.25,4.986
0,0,0,0.002,99.986,0.001,0.009
0.013,0.232,0.317,2.336,96.983,0.079,0.04
0.006,0.001,0.001,97.732,0.001,0.001,2.26
0.025,0.025,0.025,69.093,0.069,29.583,1.181
0.1,0.002,0.058,99.36,0.002,0.475,0.002
21.104,75.205,0.164,0.709,0.324,1.305,1.189
0.071,0.02,0.048,30.921,68.754,0.168,0.02
0.009,0.009,0.853,0.028,88.363,0.009,10.728
0.001,0.001,80.595,0,19.399,0.002,0.001
0.001,0,0,7.886,92.111,0,0
0.002,0.01,0.002,89.004,0.139,10.84,0.002
0.001,0.009,0.001,97.689,0.037,0.001,2.263
63.587,0.054,0.973,33.422,0.054,0.054,1.855
0,0,1.202,98.798,0,0,0
0.04,0.214,0.006,99.711,0.007,0.003,0.02
0,0,0,99.99,0,0.01,0
0,0,0,0,98.124,0.001,1.874
0.003,0.001,0.001,0.001,99.556,0.408,0.03
0.78,1.498,0.014,0.214,97.087,0.393,0.014
0.013,0.212,0.078,99.406,0.013,0.173,0.105
0.177,0.01,0.594,0.01,97.11,0.103,1.996
0.018,0.012,0.012,0.785,98.649,0.164,0.36
0.016,0.016,0.016,0.338,93.415,1.419,4.778
0,0,0,100,0,0,0
0.047,0.2,0.035,0.461,96.73,1.835,0.692
0.065,0.065,0.065,2.287,15.473,13.243,68.801
0.089,0.089,0.089,0.443,4.362,1.721,93.207
0.057,0.117,0.172,99.635,0.007,0.007,0.007
0.005,0.005,1.277,98.207,0.026,0.476,0.005
0.002,0.008,0.003,88.875,0.002,11.109,0.002
0.147,0.015,0.015,0.071,99.184,0.383,0.185
0,0,0,99.965,0.032,0,0.003
0.067,68.571,0.153,28.458,0.785,1.624,0.342
0,0.005,0,99.995,0,0,0
0.001,0.001,0.001,95.278,4.698,0.001,0.018
0.912,3.613,0.844,0.166,92.638,0.742,1.084
0.011,0,0,0.001,99.984,0,0.003
0.021,0,0,0.003,99.958,0.017,0
0.01,2.192,0.01,0.377,0.01,96.66,0.742
1.534,22.711,0.731,3.709,18.979,15.756,36.579
0.213,0.213,0.213,93.407,1.234,4.096,0.625
0.023,0.056,0.169,53.997,0.173,45.465,0.117
19.678,0.4,0.325,0.325,9.931,30.792,38.55
99.969,0.003,0,0.006,0.021,0.001,0
0,0,0,99.999,0,0.001,0
0,0,0.001,0.002,99.996,0,0.001
0.011,91.327,0.371,0.017,0.226,8.035,0.011
0.974,0.006,0.005,98.976,0.004,0.004,0.031
0.001,0.001,0.001,0.002,1.63,98.363,0.001
0.185,0.004,0.004,0.004,99.489,0.082,0.231
0,0,0.001,99.991,0.006,0,0.001
0.009,0.017,0.009,99.299,0.018,0.009,0.639
0,0,0,99.999,0,0,0
3.638,0.055,0.155,71.244,24.522,0.332,0.055
0,0,0,99.996,0,0.003,0
0.001,0.005,0.019,99.569,0.001,0.397,0.008
0,0,0,99.996,0.001,0.001,0.002
0.001,0.03,0.001,99.223,0.001,0.744,0.001
0.021,0.043,0.021,21.243,78.576,0.021,0.076
0.241,0.057,0.328,11.358,83.528,0.868,3.62
0,0.013,0,0,99.924,0.062,0
0.015,0.009,0.009,1.435,94.756,2.355,1.422
0.004,36.412,1.315,62.203,0.004,0.059,0.004
0.001,0.001,0.002,99.736,0.259,0.001,0.001
0,0,0.001,99.915,0.083,0,0
0.686,0.009,0.052,99.208,0.009,0.027,0.009
3.742,67.199,0.031,0.099,28.716,0.182,0.031
0.234,27.016,1.709,2.136,62.178,5.586,1.141
0,0,0,0.037,99.961,0,0.001
0.001,0.001,0.001,99.985,0.01,0.001,0.001
0.021,0.005,0.005,0.005,98.968,0.134,0.861
0,0,0.001,99.997,0,0.002,0
0.07,4.768,1.096,2.24,90.29,1.124,0.412
0.017,1.252,0.032,98.275,0.057,0.125,0.244
0.074,0.074,0.103,1.084,86.973,1.948,9.744
0.47,0.146,0.156,2.388,70.395,0.137,26.308
0.006,0.006,0.106,0.006,96.332,3.288,0.258
0.035,0.07,0.1,16.172,72.31,11.277,0.035
0,0,0.008,99.987,0,0.005,0
0.701,3.39,0.114,0.119,94.255,0.077,1.344
0.042,1.584,84.774,10.041,0.042,1.646,1.871
0.001,0.001,0.002,99.98,0.001,0.001,0.015
2.161,0.053,0.053,0.053,28.11,0.867,68.704
0.015,0.031,0.015,61.254,38.504,0.059,0.123
57.831,0.006,0.014,41.353,0.006,0.785,0.006
0.038,0.005,0.029,99.909,0.005,0.005,0.01
0,0.026,0,99.973,0,0,0
0.004,0.004,97.503,0.004,0.774,1.546,0.165
0,0,0,0.015,99.984,0,0
1.615,6.903,48.841,0.128,30.101,12.284,0.128
0,0.004,0,99.995,0,0,0
0,0,0,100,0,0,0
0.023,0.004,2.382,0.005,97.29,0.277,0.019
0.001,0.017,0.001,91.019,8.915,0.046,0.001
0,0,0,0.001,99.999,0,0
0.003,0.001,0.001,0.001,99.986,0.001,0.006
0.114,0.006,0.006,0.126,99.647,0.006,0.094
0.013,0.013,18.465,1.339,80.143,0.013,0.013
0.002,0.002,0.434,0.074,99.484,0.003,0.002
0.002,0.002,0.002,0.52,99.45,0.003,0.021
9.661,0.417,0.138,28.413,60.881,0.352,0.138
21.872,0.079,0.079,0.926,76.634,0.33,0.079
0.009,0.001,0.001,0.001,99.959,0.007,0.023
0.001,0.001,0.001,0.042,25.368,0.015,74.571
0.235,0.009,0.003,99.745,0.003,0.003,0.003
0,0,0,0.681,99.318,0,0
3.373,3.909,0.4,1.174,0.331,88.868,1.945
3.445,0.13,0.249,1.894,22.922,0.329,71.03
0.111,0.317,88.947,1.405,4.082,4.099,1.04
0,0,0.004,99.996,0,0,0
0.03,15.672,0.03,0.594,78.498,0.03,5.147
0.001,0.02,0.007,99.665,0.001,0.306,0.001
0,0,0,99.991,0.006,0.001,0
