anger,disgust,fear,happiness,neutral,sadness,surprise
0.014,0.017,0.014,1.412,98.345,0.076,0.122
97.274,0.008,0.07,0.104,0.008,1.966,0.57
0.002,0,0.001,0,99.995,0,0.001
0.023,0.153,0.023,80.74,0.117,0.023,18.921
0.207,0.014,0.014,98.398,1.268,0.058,0.042
0.009,0.009,0.009,61.603,29.075,0.009,9.287
0,0,0.006,99.994,0,0,0
0,0,0,100,0,0,0
0.41,0.002,26.823,72.758,0.002,0.002,0.002
0,0,0,100,0,0,0
0,0,0,100,0,0,0
0,0.004,0,99.98,0.004,0.001,0.011
0.094,0.017,0.017,85.637,13.221,0.032,0.981
0.011,0.072,0.013,18.213,81.655,0.026,0.011
0.569,0.015,0.273,99.123,0.006,0.009,0.006
0.2,0.092,0.001,99.694,0.001,0.001,0.011
0,0,0,100,0,0,0
0.57,0.614,61.14,0.261,0.49,25.317,11.609
0.069,0.069,0.189,2.121,1.727,0.116,95.71
0.37,0.031,0.026,0.418,97.023,0.026,2.107
0.094,0.01,0.01,98.511,1.186,0.178,0.012
0.025,0.025,18.384,10.71,0.025,0.025,70.805
0,0,0,99.919,0.011,0,0.07
0,0,0,0.001,95.583,4.414,0.001
0.006,0.044,49.271,50.217,0.006,0.021,0.435
0,0,0,98.905,1.094,0,0
0,0,0.001,92.393,0,7.605,0
0.042,24.196,0.042,65.383,9.545,0.748,0.042
0.037,3.996,0.037,9.949,85.885,0.058,0.037
0,0,0,100,0,0,0
0,0,0,0,99.999,0.001,0
0.001,0.003,0.001,0.003,99.889,0.089,0.013
0.014,0,0,0.008,99.976,0,0.002
0.001,0.001,0.001,0.024,99.947,0.003,0.023
0,0,0,100,0,0,0
0,0,0,100,0,0,0
35.011,0.022,0.022,63.371,1.468,0.022,0.083
0,0,0,99.998,0,0,0.002
0,0,0,99.997,0,0.002,0
0,0,0,0.002,0.001,0,99.996
0,0,0,99.98,0.02,0,0
0,0,0,99.966,0,0.001,0.033
0.289,0.019,0.558,98.851,0.006,0.271,0.006
0.002,0.002,0.002,96.965,0.005,0.002,3.023
0,0,0,99.999,0,0.001,0
0,0,0,99.992,0.001,0.001,0.006
0.075,0.075,0.075,57.26,18.557,0.075,23.881
0.001,0.001,0.001,5.319,92.959,0.001,1.718
0.004,0.002,0.002,0.053,99.931,0.003,0.005
0,0,0,100,0,0,0
0,0,0,100,0,0,0
0,0,0,99.999,0,0,0.001
0,0,0.002,0.05,99.943,0.003,0
0.002,0.002,0.002,95.501,4.485,0.005,0.002
0,0,0,100,0,0,0
0.013,0.012,0.004,99.93,0.004,0.004,0.033
0,0.055,0,99.9,0.04,0.004,0.001
0,0,0,99.862,0,0.137,0
0,0,0,100,0,0,0
0.001,0.001,0.001,99.626,0.082,0.289,0.001
0,0,0,100,0,0,0
0,0.001,0.001,99.998,0,0,0
0.007,0.007,0.014,0.034,98.313,1.156,0.468
0,0,0,100,0,0,0
0.094,0.006,0.006,23.03,76.841,0.018,0.006
0.001,0.001,0.001,0.046,99.501,0.435,0.015
0,0,0,0.023,99.977,0,0
0,0,0,100,0,0,0
0.001,0.075,0.003,99.919,0.002,0.001,0.001
0,0,0,100,0,0,0
0.003,0.007,0.003,3.875,96.043,0.05,0.02
0,0,0,100,0,0,0
0.001,0.259,0.001,99.723,0.001,0.015,0.001
0,0,0,0.125,99.867,0.007,0
0,0.074,0.02,99.879,0,0,0.026
0,0,0,0.002,99.955,0.001,0.041
0,0.001,0,99.995,0,0,0.003
0.59,0.035,0.038,16.324,77.932,5.047,0.035
0.126,0.022,0.022,0.498,98.795,0.413,0.124
0,0,0,100,0,0,0
0,0.002,0,99.998,0,0,0
0.003,0.002,0.004,99.99,0,0,0
10.97,0.8,0.081,54.994,31.794,1.252,0.108
0,0,0,100,0,0,0
0,0.023,0.004,99.972,0,0.001,0
0,0.003,0.001,99.94,0,0,0.055
0,0,0,99.999,0,0,0.001
0.002,0.124,0.003,99.476,0.002,0.022,0.372
0.001,0.013,0.002,99.965,0.006,0.001,0.011
0.52,0.52,0.52,78.777,3.727,10.728,5.209
0,0,0,99.999,0,0.001,0
0,0,0,0.246,99.747,0.004,0.003
0.001,0.003,0.077,99.753,0.001,0.162,0.003
0,0,0,2.204,97.794,0,0.002
0.012,0.007,0.007,0.028,99.5,0.063,0.381
0.002,0.002,0.002,1.472,98.504,0.006,0.012
0.033,0.002,0.002,0.011,99.796,0.012,0.144
0.031,0.003,0.044,3.464,96.377,0.077,0.003
0.131,0.01,0.006,99.758,0.006,0.017,0.07
0,0,0,100,0,0,0
0,0,0,100,0,0,0
0.001,0.01,0.001,99.403,0.584,0.001,0.001
0,0,0,100,0,0,0
0,0.004,0,99.996,0,0,0
0.014,0.014,0.014,22.439,77.247,0.094,0.176
0,0,0.002,99.996,0,0,0
1.244,0.152,13.118,21.055,64.145,0.143,0.143
0,0,0,0,99.992,0,0.008
0.005,0.005,0.005,0.079,99.685,0.104,0.117
0.103,0.06,0.06,3.688,84.687,10.659,0.744
0,0,0,100,0,0,0
0.002,0.004,0.161,99.701,0.129,0.002,0.002
0.001,0.006,0.057,99.767,0.001,0.019,0.149
0,0,0,99.999,0,0.001,0
0.008,0.017,0.008,89.019,10.912,0.023,0.012
0.094,0.094,0.094,72.594,22.705,4.323,0.094
0,0,0,0.087,99.912,0,0.001
0.05,0.203,0.24,97.68,0.05,0.05,1.726
0,0.002,0,99.998,0,0,0
0.003,0.003,0.003,51.971,47.924,0.003,0.092
0,0,0,100,0,0,0
0,0,0,99.958,0.04,0,0.001
1.659,0.369,0.135,96.347,1.015,0.339,0.135
0.013,0.013,0.028,0.13,86.837,0.048,12.93
0,0.471,0,99.528,0,0,0
0,0,0,100,0,0,0
0.017,0.051,0.212,98.61,0.018,0.115,0.976
0,0,0,12.457,87.54,0.001,0.001
0.002,0.005,0.002,3.247,96.739,0.002,0.002
0,0,0,100,0,0,0
0.045,0.044,0.01,0.592,99.188,0.073,0.049
0.615,0.224,0.402,30.989,54.986,9.574,3.21
0,0.001,0,99.991,0.001,0,0.006
0,0.082,0,99.918,0,0,0
0,0,0,99.508,0.492,0,0
0.004,0.002,0.002,95.428,4.557,0.002,0.003
0,0,0,6.852,93.141,0.005,0
0.008,0.001,0.001,0.001,99.571,0.001,0.418
0,0,0,100,0,0,0
0,0,0,100,0,0,0
0,0,0,99.999,0,0,0
0,0,0,100,0,0,0
0,0.001,0,0.002,99.997,0,0
0.023,0.023,0.023,0.604,97.221,0.032,2.075
0,0.002,0.001,99.99,0,0.007,0
0,0,0,99.792,0.204,0,0.002
0,0.004,0,99.995,0,0,0.001
0.024,0.022,0.022,0.361,97.188,1.032,1.35
0,0,0,100,0,0,0
0.002,0.432,0.033,99.525,0.002,0.002,0.004
0,0,0,99.846,0.154,0,0
0,0,0,99.996,0,0.003,0
0,0.003,0,99.997,0,0,0
0,0,0,99.998,0,0.001,0.001
0,0,0,99.999,0,0,0
0.003,0.001,0.001,0.132,99.774,0.001,0.088
0.039,0.039,0.041,0.6,98.124,1.097,0.06
0.09,2.106,0.001,0.054,97.745,0.001,0.001
0.002,0.004,0.002,5.863,94.017,0.009,0.103
0.001,0.014,0.003,99.967,0.001,0.001,0.013
0,0,0,99.965,0.029,0.004,0.001
0.004,0.004,0.008,0.097,99.807,0.064,0.016
0.004,0.001,0.001,99.911,0.004,0.001,0.079
0.147,0.061,0.031,0.023,99.713,0.008,0.017
0.163,0.037,1.103,10.713,77.838,10.109,0.037
0,0,0.001,99.999,0,0,0
0.001,0.001,0.027,99.966,0.001,0.001,0.003
0.002,0.002,0.016,99.771,0.149,0.055,0.003
0.002,0.002,0.002,0.333,99.636,0.018,0.008
0.003,0.001,0.007,99.98,0.005,0.001,0.003
0,0,0,100,0,0,0
0,0,0,100,0,0,0
0,0.197,0,99.802,0,0,0.001
0.038,0.038,0.038,72.701,26.484,0.038,0.662
0,0.01,0.001,99.987,0.001,0,0
0.467,54.069,0.018,45.321,0.017,0.017,0.089
0.001,0.017,0.008,99.967,0.001,0.006,0.001
0.029,0.029,0.029,1.055,91.203,5.798,1.855
0,0,0,100,0,0,0
0,0,0,100,0,0,0
0.001,0.007,0.001,99.972,0.013,0.004,0.004
0,0,0,99.997,0.003,0,0
0.011,0.011,0.026,2.008,97.921,0.011,0.011
0.02,0.004,0.004,0.004,99.892,0.047,0.029
0.03,0.001,0.001,99.952,0.001,0.001,0.014
0,0.087,0.009,99.903,0,0.001,0
0.047,0.047,0.047,14.429,84.708,0.047,0.676
0,0,0,99.991,0,0.008,0
0,0,0,99.999,0,0.001,0
0.024,0.281,0.677,97.735,0.024,0.088,1.172
0,0.009,0,99.99,0,0,0
0,0.009,0.007,99.983,0,0,0
0,0,0,100,0,0,0
0,0,0,0.006,99.993,0,0
0,0,0,0.13,99.868,0,0.001
0.001,1.274,0.431,98.289,0.001,0.001,0.003
0.001,0.001,0.001,0.304,99.609,0.001,0.081
0,0.001,0.002,0.245,99.751,0,0
0,0.001,0,99.972,0,0.001,0.026
0.015,0.198,0.007,0.843,97.873,0.007,1.058
0.002,0.011,0.001,0.001,99.978,0.001,0.007
0,0,0,100,0,0,0
0,0,0.026,99.973,0,0,0
0.003,0.003,0.004,1.356,98.62,0.003,0.01
0,0.001,0,0.001,99.998,0,0
0,0.001,0.001,99.81,0.187,0.001,0
0,0,0,98.553,1.446,0.001,0
0,0,0,99.999,0,0,0.001
0.001,0.001,0.001,98.78,1.164,0.011,0.041
0,0,0,99.998,0,0.002,0
0.013,0.013,0.124,4.611,92.124,0.013,3.103
0.003,0.003,0.026,99.832,0.003,0.003,0.131
0,0.001,0,99.998,0,0,0.001
0.007,0.023,0.063,98.088,1.804,0.007,0.009
0.001,0.001,0.014,0.872,99.1,0.001,0.01
0.01,0.01,0.01,94.83,2.266,0.01,2.864
0.004,0.004,0.004,0.204,99.415,0.015,0.354
0,0.003,0.004,99.991,0,0.001,0
0.02,0.931,0.153,98.557,0.106,0.02,0.214
0,0,0,99.999,0,0,0
0,0.014,0.008,99.975,0,0,0.003
0.001,0.025,0.001,90.221,9.743,0.001,0.009
0.004,0.004,0.004,97.022,2.888,0.007,0.069
0,0.181,0.001,99.818,0,0,0
0,0,0,100,0,0,0
0.197,0.004,0.004,2.489,97.259,0.004,0.045
0.016,0.005,0.005,0.896,98.929,0.027,0.123
0,0,0,100,0,0,0
0.004,0.066,0.004,69.032,30.554,0.005,0.334
0.011,0.011,0.482,97.431,0.011,1.977,0.076
0.009,0.009,0.009,68.718,31.103,0.137,0.013
0,0,0,100,0,0,0
0.002,0.042,0.002,99.949,0.002,0.002,0.002
0,0,0,99.994,0,0.005,0
0.001,0.001,0.001,0.004,99.587,0.358,0.049
0.002,0.002,0.002,3.753,95.905,0.33,0.006
0,0,0,100,0,0,0
0,0,0,99.954,0,0,0.045
0.001,0.001,0.001,0.12,99.798,0.078,0.001
2.991,0.405,0.405,15.042,74.669,3.94,2.548
0,0,0,99.998,0,0.002,0
0,0,0,100,0,0,0
0,0.001,0,99.998,0,0,0
0.001,0.001,0.003,99.967,0.001,0.001,0.026
0,0,0.017,99.975,0,0,0.007
0.01,0.01,0.01,59.56,26.761,13.55,0.098
